iid,date,airline,flightNumber,,dep.airport,incidentType,severity,delay,num.injuries,reported.by,aircraft
i12201,17.6.2021,VN,6088,,HND,faa,major,96,0,pilot,777-300ER
i12202,14.8.2015,SV,9531,,DEN,security,minor,113,0,ground staff,747-8
i12203,2.3.2024,SQ,3040,,ORD,crew,critical,99,0,mechanic,747-8
i12204,19.9.2024,JL,5359,,LAS,medical,minor,76,0,mechanic,A321-XLR
i12205,15.2.2014,IB,9411,,DXB,medical,major,100,1,crew,747-8
i12206,21.4.2017,WN,5881,,JFK,weather,critical,96,0,pilot,BE206-JetRanger
i12207,13.5.2013,DY,3428,,HND,weather,critical,113,0,company,A321-XLR
i12208,7.4.2013,SQ,7411,,BOM,security,critical,96,0,first officer,777-300ER
i12209,27.7.2008,QR,2560,,JFK,weather,critical,54,0,crew,747-8
i12210,26.12.2022,AY,9466,,LHR,crew,minor,28,0,crew,A321-XLR
i12211,7.7.2008,MH,6811,,LHR,crew,minor,62,0,pilot,737-400
i12212,14.6.2016,OZ,3084,,CDG,security,minor,77,0,ground staff,747-8
i12213,4.7.2010,AD,3542,,SFO,mechanical,critical,127,0,ground staff,777-300ER
i12214,23.1.2014,AF,3701,,YYZ,medical,minor,21,1,pilot,737-800
i12215,25.8.2014,CZ,487,,BOM,weather,major,110,0,ground staff,777-300ER
i12216,20.8.2011,MU,1524,,FRA,medical,major,133,0,crew,737-400
i12217,22.6.2010,QF,2334,,JFK,security,major,116,0,company,737-400
i12218,7.11.2017,G3,1146,,FRA,crew,critical,34,0,mechanic,737-800
i12219,21.3.2013,BA,7811,,LAS,mechanical,critical,87,0,ground staff,737-800
i12220,7.3.2015,MH,9373,,PEK,mechanical,major,131,0,ground staff,737-800
i12221,15.2.2013,EK,1833,,CDG,turbulence,major,29,0,ground staff,A380
i12222,27.11.2019,KL,6433,,DXB,crew,critical,51,0,crew,737-800
i12223,17.5.2017,TG,3175,,DEN,faa,major,87,0,mechanic,737-400
i12224,26.5.2014,KL,1282,,SFO,faa,critical,37,0,mechanic,A321-XLR
i12225,4.4.2009,AV,4154,,LAS,faa,major,67,0,crew,777-300ER
i12226,2.7.2019,U2,5338,,PEK,faa,major,41,0,company,737-400
i12227,4.5.2013,CX,3822,,HND,security,major,23,0,mechanic,737-400
i12228,24.6.2022,JL,5317,,CDG,mechanical,critical,15,0,pilot,737-400
i12229,4.3.2016,AI,6254,,DEN,turbulence,minor,135,0,first officer,A350-900
i12230,10.12.2017,KL,6406,,SYD,crew,critical,101,0,mechanic,A350-900
i12231,16.7.2021,WN,6220,,GRU,turbulence,critical,14,1,ground staff,737-800
i12232,23.4.2008,VN,6071,,YYZ,weather,major,117,0,first officer,BE206-JetRanger
i12233,7.8.2015,AF,6123,,ATL,security,minor,73,0,company,737-400
i12234,26.1.2019,AD,5197,,DXB,mechanical,minor,123,0,crew,737-400
i12235,12.11.2013,WN,4355,,DFW,weather,minor,38,0,company,747-8
i12236,21.2.2019,U2,7362,,SEA,weather,minor,129,0,mechanic,A380
i12237,10.12.2018,G3,4620,,DXB,turbulence,minor,34,1,pilot,A321-XLR
i12238,5.6.2016,TG,9356,,DXB,medical,minor,127,0,crew,A321-XLR
i12239,18.5.2023,OZ,6039,,LAS,faa,major,96,0,company,A350-900
i12240,15.12.2022,AY,6084,,JFK,security,critical,12,0,company,A321-XLR
i12241,11.11.2021,LA,5358,,CDG,medical,minor,17,1,first officer,737-400
i12242,13.11.2015,EK,3799,,FRA,weather,critical,102,0,ground staff,A350-900
i12243,26.11.2023,EK,2599,,YYZ,mechanical,minor,30,0,ground staff,BE206-JetRanger
i12244,23.6.2011,MU,5846,,PEK,turbulence,major,87,0,first officer,BE206-JetRanger
i12245,15.11.2010,LH,2272,,LHR,mechanical,critical,32,0,pilot,A321-XLR
i12246,11.7.2021,LA,3797,,ATL,weather,minor,133,0,ground staff,A321-XLR
i12247,22.4.2011,AY,1249,,ORD,weather,minor,58,0,crew,737-800
i12248,10.3.2019,SU,9581,,BOM,crew,major,54,0,mechanic,BE206-JetRanger
i12249,14.10.2020,VN,9640,,SFO,crew,critical,61,0,company,747-8
i12250,14.12.2020,MH,1703,,LAX,turbulence,major,51,1,crew,747-8
i12251,20.5.2014,UA,6133,,SFO,weather,critical,129,0,company,737-800
i12252,13.3.2023,VN,2145,,FRA,weather,critical,37,0,crew,747-8
i12253,8.4.2020,SV,739,,SYD,security,minor,12,0,pilot,737-400
i12254,26.5.2016,G3,6473,,ATL,mechanical,major,86,0,crew,777-300ER
i12255,27.12.2020,KL,2183,,ATL,medical,major,74,1,crew,777-300ER
i12256,24.5.2015,AA,8989,,LHR,medical,major,32,1,ground staff,A380
i12257,21.11.2020,TK,2407,,PEK,security,minor,88,0,crew,777-300ER
i12258,4.9.2008,BA,7437,,JFK,security,major,79,0,pilot,A350-900
i12259,2.5.2019,LA,4979,,GRU,crew,critical,94,0,ground staff,747-8
i12260,2.8.2013,SQ,8059,,DFW,faa,minor,53,0,mechanic,A350-900
i12261,23.3.2022,KE,6271,,BOM,medical,critical,131,0,crew,A321-XLR
i12262,2.3.2017,AA,6485,,SYD,weather,major,109,0,mechanic,737-800
i12263,14.5.2023,CZ,7562,,SFO,mechanical,critical,25,0,ground staff,A350-900
i12264,15.5.2017,EY,5486,,ORD,security,critical,90,0,mechanic,A321-XLR
i12265,28.6.2014,EY,9866,,PEK,mechanical,critical,35,0,pilot,A350-900
i12266,14.10.2017,G3,6839,,LAX,mechanical,critical,11,0,crew,777-300ER
i12267,9.5.2010,VN,9904,,CDG,medical,major,81,0,ground staff,A321-XLR
i12268,24.10.2019,AM,2215,,JFK,turbulence,minor,58,0,mechanic,747-8
i12269,25.10.2011,DL,7896,,YYZ,turbulence,critical,18,1,mechanic,A350-900
i12270,12.7.2009,QR,8896,,SEA,crew,minor,113,0,first officer,737-400
i12271,21.3.2017,TK,9041,,CDG,medical,minor,83,0,first officer,A380
i12272,9.2.2011,CZ,4997,,HND,security,minor,108,0,ground staff,747-8
i12273,15.10.2022,EK,8584,,FRA,medical,minor,120,0,first officer,777-300ER
i12274,4.7.2016,BA,8417,,DFW,faa,minor,72,0,pilot,A350-900
i12275,4.5.2016,QR,2168,,DXB,faa,minor,30,0,mechanic,777-300ER
i12276,26.4.2014,BA,1286,,LAX,faa,minor,79,0,first officer,A321-XLR
i12277,12.5.2018,WN,304,,DEN,turbulence,major,53,0,mechanic,A321-XLR
i12278,24.7.2012,QF,197,,DXB,crew,major,124,0,pilot,A380
i12279,11.5.2020,AA,4252,,HND,faa,major,66,0,pilot,A321-XLR
i12280,18.7.2023,CZ,1648,,LAX,security,major,106,0,ground staff,777-300ER
i12281,20.11.2018,EY,6729,,HND,mechanical,minor,115,0,crew,A321-XLR
i12282,15.9.2010,IB,8944,,SEA,faa,major,48,0,company,A350-900
i12283,18.7.2020,MU,2490,,JFK,security,minor,46,0,mechanic,A321-XLR
i12284,3.7.2011,G3,6149,,DXB,mechanical,critical,38,0,company,A380
i12285,22.4.2009,SU,8831,,JFK,faa,critical,120,0,ground staff,747-8
i12286,5.3.2017,JL,2858,,ATL,weather,critical,119,0,first officer,737-800
i12287,12.8.2011,DL,1649,,FRA,security,major,65,0,ground staff,A380
i12288,23.9.2010,KL,6993,,BOM,crew,major,38,0,pilot,A321-XLR
i12289,7.6.2014,AD,3340,,BOM,turbulence,critical,90,0,mechanic,BE206-JetRanger
i12290,16.3.2023,G3,3173,,LAS,weather,minor,78,0,crew,A380
i12291,19.4.2018,SV,7176,,LAS,mechanical,major,19,0,crew,747-8
i12292,22.11.2011,QF,2085,,YYZ,turbulence,minor,95,1,crew,737-800
i12293,25.4.2012,U2,9601,,GRU,security,minor,23,0,ground staff,747-8
i12294,24.7.2010,LH,5601,,BOM,faa,minor,83,0,mechanic,737-800
i12295,2.12.2008,AF,3169,,FRA,security,major,77,0,mechanic,737-800
i12296,8.5.2022,SU,1153,,DFW,crew,critical,135,0,company,737-800
i12297,2.8.2020,EY,5108,,LAS,turbulence,critical,136,0,ground staff,737-400
i12298,19.8.2015,LA,7654,,ORD,turbulence,minor,102,0,crew,747-8
i12299,4.7.2021,AY,3996,,ORD,medical,minor,61,0,pilot,777-300ER
i12300,14.5.2014,SU,1019,,ORD,crew,major,125,0,mechanic,A321-XLR
i12301,24.3.2021,SQ,7688,,SYD,faa,major,117,0,first officer,BE206-JetRanger
i12302,19.10.2015,FR,6682,,DXB,turbulence,critical,110,0,company,737-800
i12303,10.12.2010,AY,255,,DFW,weather,minor,69,0,pilot,A321-XLR
i12304,17.10.2020,IB,1931,,ORD,faa,critical,96,0,crew,A321-XLR
i12305,20.11.2017,TG,318,,JFK,faa,major,44,0,mechanic,A380
i12306,24.6.2012,NZ,3000,,LAX,medical,major,77,1,first officer,777-300ER
i12307,5.11.2009,UA,919,,HND,crew,critical,84,0,ground staff,747-8
i12308,27.12.2022,DL,9720,,ORD,mechanical,major,136,0,company,737-800
i12309,14.2.2010,JL,202,,JFK,mechanical,critical,114,0,ground staff,A350-900
i12310,18.5.2008,G3,6389,,SYD,security,minor,121,0,company,737-400
i12311,21.3.2015,WN,579,,SFO,mechanical,minor,134,0,first officer,A350-900
i12312,17.6.2015,KL,5388,,ATL,weather,minor,61,0,first officer,BE206-JetRanger
i12313,2.10.2020,TK,9513,,FRA,turbulence,critical,120,1,company,BE206-JetRanger
i12314,15.2.2008,CZ,6265,,LAX,security,major,69,0,mechanic,737-400
i12315,10.2.2021,AM,2599,,BOM,crew,minor,62,0,first officer,A380
i12316,5.3.2012,DL,523,,SFO,mechanical,critical,61,0,crew,737-800
i12317,20.6.2012,DL,3066,,YYZ,security,critical,121,0,crew,737-400
i12318,4.5.2009,MH,4819,,ORD,mechanical,critical,53,0,first officer,777-300ER
i12319,24.9.2013,IB,7875,,DXB,security,minor,132,0,mechanic,A380
i12320,8.3.2018,SU,3380,,DFW,weather,critical,115,0,crew,737-800
i12321,7.5.2019,AV,5748,,CDG,crew,minor,10,0,crew,747-8
i12322,18.2.2014,KE,8921,,SEA,turbulence,major,82,1,crew,A380
i12323,2.8.2021,UA,1865,,JFK,mechanical,critical,118,0,crew,737-400
i12324,16.4.2015,AA,7421,,DXB,security,critical,125,0,crew,737-800
i12325,4.10.2020,LA,3977,,YYZ,mechanical,minor,108,0,company,737-400
i12326,12.9.2016,G3,1027,,JFK,turbulence,major,108,1,ground staff,BE206-JetRanger
i12327,23.4.2024,AA,6884,,PEK,turbulence,minor,121,0,ground staff,A321-XLR
i12328,20.5.2016,G3,3593,,SEA,mechanical,major,125,0,mechanic,737-800
i12329,23.5.2022,EK,1959,,DFW,faa,minor,135,0,crew,BE206-JetRanger
i12330,25.2.2011,G3,874,,SFO,security,critical,89,0,pilot,A380
i12331,4.1.2021,WN,162,,DEN,security,major,31,0,mechanic,A321-XLR
i12332,26.1.2018,KL,1360,,BOM,mechanical,critical,112,0,crew,737-800
i12333,26.8.2013,KL,5264,,LAX,faa,critical,124,0,crew,737-400
i12334,11.8.2021,G3,9018,,DXB,weather,critical,117,0,first officer,747-8
i12335,18.11.2016,MU,482,,SEA,medical,minor,45,0,crew,A380
i12336,28.11.2020,EK,4148,,DEN,turbulence,minor,32,0,company,A380
i12337,18.9.2015,SQ,2602,,PEK,medical,critical,45,1,mechanic,BE206-JetRanger
i12338,8.8.2013,QF,8643,,GRU,security,major,58,0,mechanic,737-400
i12339,2.9.2019,AZ,6708,,SFO,faa,critical,75,0,mechanic,A380
i12340,5.11.2014,SQ,533,,GRU,mechanical,major,12,0,mechanic,747-8
i12341,18.8.2021,IB,2625,,JFK,crew,major,111,0,first officer,BE206-JetRanger
i12342,12.4.2023,KE,147,,LAS,turbulence,critical,10,1,mechanic,A380
i12343,24.7.2016,EY,7445,,JFK,weather,minor,57,0,mechanic,A350-900
i12344,27.9.2019,JL,4720,,LAX,turbulence,minor,37,0,first officer,BE206-JetRanger
i12345,23.6.2018,DL,8832,,PEK,crew,critical,97,0,first officer,A380
i12346,12.6.2014,AD,4605,,JFK,security,critical,78,0,company,BE206-JetRanger
i12347,24.4.2020,U2,5950,,HND,faa,major,107,0,crew,A350-900
i12348,13.3.2023,SQ,254,,YYZ,faa,critical,70,0,first officer,747-8
i12349,11.2.2018,AF,5276,,DEN,faa,minor,70,0,mechanic,737-400
i12350,28.2.2009,JL,9102,,LAS,security,critical,89,0,pilot,747-8
i12351,13.6.2019,NZ,7657,,ATL,turbulence,critical,93,0,crew,737-400
i12352,3.4.2011,QF,3955,,SEA,security,critical,86,0,crew,777-300ER
i12353,9.5.2014,G3,4126,,JFK,medical,major,17,0,crew,A321-XLR
i12354,4.3.2016,DL,6110,,PEK,turbulence,major,135,0,mechanic,A321-XLR
i12355,15.7.2021,U2,7367,,LAX,mechanical,major,103,0,company,737-400
i12356,18.4.2008,KE,2684,,ATL,security,minor,48,0,first officer,737-400
i12357,28.3.2013,WN,513,,HND,faa,minor,39,0,first officer,A350-900
i12358,16.11.2014,JL,6637,,BOM,weather,major,132,0,pilot,777-300ER
i12359,11.4.2012,DY,8578,,ORD,weather,major,102,0,company,737-400
i12360,22.10.2014,NH,7568,,BOM,security,minor,50,0,mechanic,747-8
i12361,28.5.2017,UA,672,,SYD,mechanical,critical,60,0,first officer,737-400
i12362,18.7.2016,SU,9529,,FRA,weather,minor,59,0,company,747-8
i12363,1.9.2015,UA,8405,,BOM,security,major,61,0,pilot,777-300ER
i12364,19.8.2020,KE,9567,,LAX,faa,minor,122,0,mechanic,BE206-JetRanger
i12365,4.10.2021,QR,6436,,BOM,faa,critical,101,0,ground staff,A380
i12366,13.10.2010,OZ,9157,,GRU,faa,critical,73,0,crew,777-300ER
i12367,16.7.2010,SU,4026,,SEA,medical,critical,24,0,ground staff,A380
i12368,13.3.2014,AC,6608,,ORD,turbulence,major,106,1,mechanic,747-8
i12369,10.5.2021,VN,6132,,SYD,turbulence,major,130,0,ground staff,A350-900
i12370,13.6.2011,TK,7338,,JFK,security,major,115,0,crew,737-400
i12371,22.4.2017,TK,6074,,DFW,faa,critical,19,0,company,737-400
i12372,11.2.2022,KE,9308,,YYZ,mechanical,major,109,0,company,747-8
i12373,27.2.2021,SU,916,,PEK,security,minor,130,0,mechanic,777-300ER
i12374,21.1.2022,QR,341,,PEK,weather,minor,123,0,crew,A350-900
i12375,25.9.2014,CX,5335,,LAX,turbulence,major,15,1,pilot,747-8
i12376,17.8.2011,U2,4977,,LAX,crew,minor,21,0,crew,737-400
i12377,16.1.2010,SU,5462,,JFK,weather,minor,97,0,company,777-300ER
i12378,7.5.2021,TG,3814,,LHR,security,major,20,0,ground staff,737-400
i12379,7.3.2011,AF,8711,,JFK,crew,minor,89,0,ground staff,737-400
i12380,11.8.2015,AY,9368,,YYZ,turbulence,critical,111,0,ground staff,A350-900
i12381,14.7.2015,U2,4524,,BOM,mechanical,major,61,0,crew,A380
i12382,27.8.2011,CX,9634,,BOM,turbulence,minor,107,1,pilot,737-400
i12383,1.8.2017,AI,8990,,LAX,faa,critical,44,0,first officer,A350-900
i12384,23.3.2021,EK,2202,,LHR,weather,major,35,0,ground staff,747-8
i12385,19.4.2018,QR,2491,,LAX,mechanical,major,16,0,first officer,777-300ER
i12386,23.4.2024,JL,4907,,LHR,faa,major,32,0,first officer,737-800
i12387,27.6.2017,MH,4207,,GRU,medical,minor,21,1,first officer,747-8
i12388,17.8.2013,LA,1070,,PEK,security,minor,25,0,company,BE206-JetRanger
i12389,24.10.2019,WN,1742,,SYD,mechanical,critical,52,0,company,747-8
i12390,8.8.2009,UA,420,,DEN,mechanical,critical,39,0,pilot,747-8
i12391,17.11.2013,IB,6613,,ORD,turbulence,critical,100,1,crew,A350-900
i12392,23.4.2009,BA,1391,,JFK,weather,major,42,0,ground staff,A321-XLR
i12393,16.6.2015,AV,6370,,DFW,faa,critical,43,0,company,BE206-JetRanger
i12394,13.8.2012,NH,1569,,SFO,mechanical,critical,64,0,crew,A380
i12395,27.12.2020,DL,5061,,DXB,turbulence,major,117,1,company,777-300ER
i12396,16.3.2011,QF,9640,,SFO,turbulence,major,98,0,crew,747-8
i12397,10.7.2010,AV,7828,,SYD,medical,critical,115,0,crew,A350-900
i12398,9.10.2015,AC,1611,,SEA,turbulence,major,19,1,company,777-300ER
i12399,21.5.2014,LA,7949,,LHR,turbulence,major,132,0,crew,A350-900
i12400,7.3.2016,AF,3325,,YYZ,crew,minor,77,0,company,777-300ER
i12401,16.11.2021,MU,3438,,YYZ,faa,major,67,0,ground staff,747-8
i12402,14.11.2022,EK,1144,,FRA,faa,minor,72,0,crew,737-800
i12403,4.10.2019,LH,3906,,JFK,weather,major,70,0,company,BE206-JetRanger
i12404,3.12.2016,IB,3845,,DXB,weather,major,135,0,ground staff,A321-XLR
i12405,6.10.2013,AI,7630,,HND,crew,major,11,0,company,A350-900
i12406,20.5.2021,TG,5167,,DFW,security,minor,84,0,company,A321-XLR
i12407,8.11.2022,MH,5957,,JFK,medical,minor,83,0,crew,BE206-JetRanger
i12408,4.11.2010,VN,6682,,DFW,medical,minor,92,0,mechanic,737-400
i12409,17.10.2014,CZ,9773,,ORD,medical,major,37,0,ground staff,737-400
i12410,18.7.2018,DL,5827,,JFK,mechanical,critical,28,0,pilot,BE206-JetRanger
i12411,25.9.2015,AM,7363,,JFK,security,minor,61,0,pilot,747-8
i12412,15.5.2017,AZ,7981,,SFO,turbulence,critical,20,0,ground staff,BE206-JetRanger
i12413,16.6.2010,TK,7260,,PEK,crew,major,86,0,company,A350-900
i12414,6.7.2011,AD,4822,,GRU,security,minor,122,0,mechanic,747-8
i12415,11.3.2024,VN,5790,,SEA,weather,major,130,0,ground staff,747-8
i12416,10.4.2016,SV,2840,,DEN,security,critical,35,0,crew,777-300ER
i12417,14.4.2016,FR,843,,FRA,crew,critical,35,0,first officer,737-800
i12418,5.5.2018,JL,269,,YYZ,security,minor,127,0,pilot,A321-XLR
i12419,24.7.2011,AV,2376,,YYZ,crew,minor,29,0,company,737-800
i12420,2.8.2022,MH,9414,,JFK,medical,critical,25,0,ground staff,737-800
i12421,5.8.2011,EK,9487,,ATL,mechanical,minor,25,0,first officer,737-400
i12422,24.7.2012,AI,6369,,LHR,medical,minor,12,1,pilot,A350-900
i12423,10.8.2023,TK,2242,,DXB,turbulence,critical,42,0,mechanic,A350-900
i12424,8.9.2019,NH,7969,,SFO,mechanical,critical,26,0,first officer,A380
i12425,16.1.2009,MU,9430,,PEK,turbulence,major,44,0,pilot,747-8
i12426,25.4.2012,EY,9186,,GRU,faa,minor,53,0,first officer,747-8
i12427,6.6.2011,AV,6185,,HND,turbulence,minor,135,0,mechanic,A350-900
i12428,20.9.2014,JL,9778,,JFK,turbulence,major,122,1,first officer,777-300ER
i12429,13.5.2015,AA,1955,,LAS,weather,critical,54,0,crew,A321-XLR
i12430,3.10.2013,FR,2875,,LAX,crew,minor,74,0,company,747-8
i12431,14.9.2023,AI,2686,,HND,turbulence,minor,61,0,ground staff,777-300ER
i12432,2.4.2014,U2,2562,,HND,medical,critical,13,0,crew,747-8
i12433,8.5.2022,DL,1229,,JFK,security,minor,31,0,ground staff,A350-900
i12434,10.10.2021,EY,9428,,SFO,weather,critical,78,0,first officer,777-300ER
i12435,13.6.2009,AY,3489,,ATL,crew,major,62,0,pilot,A321-XLR
i12436,22.9.2012,AM,6920,,LAS,crew,major,107,0,pilot,777-300ER
i12437,8.2.2021,MH,4051,,YYZ,faa,major,130,0,mechanic,747-8
i12438,28.4.2009,DL,3192,,HND,crew,minor,93,0,company,737-400
i12439,11.6.2014,AD,9339,,DXB,turbulence,major,80,1,mechanic,BE206-JetRanger
i12440,11.3.2012,AZ,624,,JFK,medical,minor,108,1,crew,747-8
i12441,13.9.2023,DL,9351,,ATL,medical,minor,81,1,company,A321-XLR
i12442,5.3.2016,VN,152,,JFK,mechanical,major,31,0,ground staff,747-8
i12443,27.3.2020,BA,7222,,YYZ,medical,major,20,1,crew,BE206-JetRanger
i12444,18.8.2017,AF,9644,,LAS,crew,major,115,0,pilot,777-300ER
i12445,25.7.2009,AY,5338,,GRU,faa,critical,52,0,mechanic,747-8
i12446,9.5.2018,SQ,8125,,LHR,medical,major,40,0,crew,737-400
i12447,28.4.2013,QF,9427,,JFK,medical,minor,55,0,company,BE206-JetRanger
i12448,14.2.2015,UA,1023,,CDG,weather,minor,40,0,pilot,A350-900
i12449,21.5.2008,TG,1935,,BOM,faa,minor,28,0,first officer,747-8
i12450,8.9.2020,AM,8361,,JFK,turbulence,major,133,0,first officer,A321-XLR
i12451,16.10.2014,NZ,2996,,CDG,security,major,27,0,mechanic,747-8
i12452,15.11.2017,BA,2809,,LAX,faa,major,115,0,ground staff,737-400
i12453,3.6.2017,MH,2385,,JFK,mechanical,major,43,0,ground staff,777-300ER
i12454,26.6.2022,AV,1378,,LAS,mechanical,critical,83,0,crew,A350-900
i12455,28.7.2013,AM,1415,,CDG,crew,major,68,0,company,A380
i12456,13.8.2023,AY,6808,,ORD,mechanical,minor,104,0,pilot,A321-XLR
i12457,26.7.2019,OZ,8011,,PEK,medical,critical,84,0,ground staff,BE206-JetRanger
i12458,13.12.2013,SQ,1742,,DFW,crew,major,136,0,company,A321-XLR
i12459,6.8.2009,EK,6029,,SEA,weather,critical,107,0,pilot,BE206-JetRanger
i12460,11.10.2014,CZ,4103,,SYD,security,critical,39,0,crew,A350-900
i12461,7.8.2014,U2,6745,,JFK,medical,minor,11,0,mechanic,A350-900
i12462,21.6.2009,LH,5828,,LHR,crew,major,67,0,pilot,737-400
i12463,9.12.2024,MH,3236,,DXB,faa,critical,75,0,ground staff,737-800
i12464,2.11.2022,AM,2762,,LHR,weather,critical,64,0,ground staff,A350-900
i12465,7.8.2012,CX,7917,,LAS,weather,critical,29,0,ground staff,A350-900
i12466,10.6.2018,WN,5097,,DEN,crew,major,107,0,company,A380
i12467,5.6.2024,DY,5547,,DXB,medical,major,50,0,pilot,BE206-JetRanger
i12468,20.8.2010,NZ,6312,,LHR,security,major,124,0,company,747-8
i12469,2.7.2013,DL,9789,,ATL,security,critical,33,0,crew,747-8
i12470,14.7.2023,CX,9963,,SFO,security,minor,57,0,mechanic,737-400
i12471,20.8.2012,FR,7532,,JFK,turbulence,critical,90,1,crew,737-400
i12472,9.3.2015,U2,5942,,CDG,turbulence,minor,101,1,company,777-300ER
i12473,28.1.2017,IB,9834,,DEN,security,critical,28,0,company,777-300ER
i12474,15.10.2023,EY,3555,,YYZ,mechanical,minor,61,0,ground staff,737-400
i12475,6.9.2022,OZ,2202,,PEK,security,minor,57,0,ground staff,747-8
i12476,23.10.2014,UA,6674,,LHR,turbulence,critical,38,0,company,737-400
i12477,25.3.2015,NZ,621,,CDG,medical,minor,21,0,pilot,777-300ER
i12478,17.11.2022,SQ,768,,JFK,crew,major,115,0,first officer,A380
i12479,24.5.2014,MH,5174,,JFK,mechanical,minor,67,0,first officer,747-8
i12480,1.9.2020,U2,2859,,YYZ,turbulence,critical,108,1,crew,747-8
i12481,15.11.2019,IB,3265,,LHR,medical,critical,66,0,pilot,A350-900
i12482,20.11.2023,FR,3422,,SEA,weather,critical,23,0,crew,BE206-JetRanger
i12483,17.9.2013,AY,8012,,LAX,medical,minor,43,0,first officer,A321-XLR
i12484,17.6.2020,NH,4492,,DXB,turbulence,critical,38,0,pilot,737-800
i12485,28.10.2024,DY,4209,,JFK,crew,major,60,0,first officer,A321-XLR
i12486,5.12.2012,BA,1438,,LAS,weather,major,47,0,ground staff,BE206-JetRanger
i12487,6.2.2013,G3,1033,,FRA,medical,critical,69,0,mechanic,BE206-JetRanger
i12488,2.10.2018,DL,313,,ORD,mechanical,critical,86,0,ground staff,A350-900
i12489,2.9.2024,LH,6369,,SFO,weather,minor,72,0,pilot,737-800
i12490,16.2.2017,DL,429,,HND,crew,critical,91,0,ground staff,A350-900
i12491,16.4.2010,SU,9368,,PEK,weather,major,102,0,pilot,A350-900
i12492,22.11.2014,SV,2655,,YYZ,mechanical,minor,68,0,pilot,A321-XLR
i12493,21.7.2014,AZ,4803,,CDG,weather,major,45,0,mechanic,A321-XLR
i12494,18.2.2009,G3,468,,JFK,mechanical,critical,96,0,first officer,737-800
i12495,21.10.2024,CX,8705,,SFO,faa,critical,120,0,pilot,A321-XLR
i12496,19.6.2019,CZ,1797,,LAS,faa,major,68,0,pilot,737-400
i12497,2.3.2019,AC,7634,,GRU,security,major,18,0,mechanic,A350-900
i12498,10.6.2020,QF,3926,,SYD,mechanical,major,71,0,crew,BE206-JetRanger
i12499,15.4.2017,TG,6619,,GRU,security,major,108,0,ground staff,747-8
i12500,15.8.2012,QR,4038,,DEN,weather,minor,64,0,mechanic,A380
i12501,27.1.2022,NZ,928,,BOM,security,critical,51,0,first officer,737-800
i12502,12.1.2023,BA,9910,,GRU,weather,major,27,0,ground staff,737-800
i12503,24.8.2021,SV,1239,,SYD,medical,minor,58,0,ground staff,777-300ER
i12504,1.7.2009,QR,5586,,LAS,faa,major,10,0,crew,A321-XLR
i12505,18.2.2016,DY,1786,,HND,mechanical,major,25,0,ground staff,737-400
i12506,2.4.2009,EK,454,,HND,faa,major,92,0,crew,777-300ER
i12507,10.11.2023,U2,6879,,JFK,turbulence,major,113,0,ground staff,747-8
i12508,27.9.2013,TG,3608,,GRU,turbulence,critical,80,1,company,777-300ER
i12509,5.9.2012,AD,7246,,SYD,weather,minor,61,0,first officer,BE206-JetRanger
i12510,26.1.2018,AV,9070,,GRU,security,minor,116,0,ground staff,A321-XLR
i12511,18.7.2020,AC,1898,,HND,medical,critical,137,0,crew,A350-900
i12512,23.11.2022,QR,1562,,SFO,mechanical,minor,81,0,company,A380
i12513,10.10.2011,AD,1646,,ATL,turbulence,major,136,0,crew,747-8
i12514,3.2.2023,AZ,6545,,DFW,weather,minor,96,0,crew,A380
i12515,19.7.2008,AM,8681,,DEN,mechanical,critical,26,0,mechanic,A380
i12516,20.10.2013,DL,5626,,SYD,security,critical,53,0,ground staff,737-800
i12517,16.5.2011,SV,2789,,LHR,mechanical,minor,14,0,ground staff,A321-XLR
i12518,16.10.2020,MH,8855,,SFO,turbulence,major,86,0,mechanic,A380
i12519,19.11.2009,MH,3650,,DEN,mechanical,major,17,0,crew,A350-900
i12520,17.9.2012,AM,9775,,GRU,crew,critical,103,0,ground staff,777-300ER
i12521,5.4.2011,AD,9071,,SFO,security,critical,51,0,mechanic,737-400
i12522,27.7.2023,WN,5332,,LAS,medical,critical,46,1,company,777-300ER
i12523,12.8.2016,UA,8314,,PEK,weather,major,10,0,first officer,BE206-JetRanger
i12524,5.8.2015,CZ,254,,LAS,crew,major,23,0,ground staff,777-300ER
i12525,3.11.2009,AV,879,,ORD,turbulence,minor,137,0,company,A321-XLR
i12526,25.7.2020,AI,1662,,DEN,security,minor,114,0,crew,737-800
i12527,11.12.2023,SU,664,,DFW,mechanical,major,25,0,mechanic,A321-XLR
i12528,20.4.2013,DY,5452,,LAX,mechanical,minor,98,0,first officer,A380
i12529,16.6.2009,JL,5910,,GRU,medical,critical,88,0,first officer,777-300ER
i12530,7.8.2009,AI,1011,,JFK,security,minor,92,0,pilot,777-300ER
i12531,18.12.2010,AI,2400,,CDG,faa,major,94,0,mechanic,737-800
i12532,8.3.2015,WN,8818,,SFO,weather,major,134,0,first officer,A321-XLR
i12533,10.6.2023,LA,7034,,YYZ,faa,critical,72,0,company,A350-900
i12534,23.10.2019,KE,2856,,ATL,crew,major,56,0,mechanic,737-800
i12535,26.5.2020,LA,901,,ORD,crew,critical,82,0,ground staff,737-800
i12536,28.11.2011,QF,8062,,PEK,mechanical,major,13,0,ground staff,747-8
i12537,13.9.2015,MU,5942,,FRA,security,critical,93,0,first officer,777-300ER
i12538,27.7.2020,G3,7960,,FRA,turbulence,critical,53,1,first officer,A350-900
